Onderwerp,Toelichting,Kenmerk
[SSCC] [Tekst] SSCC labels tonen opmerkingenveld als barcode in plaats van tekst,"Probleembeschrijving: Goedemiddag, We hebben een probleem met de SSCC labels, de THT datum die daarop komt te staan klopt niet helemaal met de pakbonnen. Als er op een pakbon om datum/tijd van 23:00 staat dan gaat die daarop +4 dagen THT berekenen. Dit willen we niet omdat we dan effectief maar 3 dagen THT hebben. De oplossing die we hadden bedacht is om in het pakbon het veld ""Opmerking"" te vullen met de THT datum zodat we die op het SSCC label kunnen tonen. Probleem is dat ik die wel kan toevoegen in het rapport bij het gegevensverzameling alleen deze komt eruit als een barcode (zie screenshots). Hoe kan ik ervoor zorgen dat we dat opmerkingen veld als tekst zichtbaar krijgen op het rapport? Graag met prioriteit omdat we morgen deze labels moeten printen. Groetjes, Mick. Aanvullende details: - Kun je bevestigen of het opmerkingenveld correct gevuld wordt in de gegevensverzameling? - Ja klopt - Kun je uitleggen hoe het veld momenteel als barcode wordt weergegeven? - Als ik hem toevoeg aan het rapport dan zie ik dus een barcode - Welke stappen heb je al geprobeerd om dit probleem op te lossen? - Ik heb geprobeerd meerdere velden toe te voegen en om instellingen op het veld zelf in het rapport aan te passen. Deze stappen bieden geen aanpassingen helaas.",ERP
Verzamelloonstaat per persoon per periode genereren in AFAS.,"Probleembeschrijving: Goedemiddag, Ik wil graag een verzamelloonstaat van 1 persoon waar elke periode op vermeld wordt. Ik kan uit AFAS alleen een verzamelloonstaat voor 1 periode krijgen of een een bedrag cumulatief tot die periode. Aanvullende details: - Kun je aangeven welke stappen je precies volgt om de verzamelloonstaat te genereren? - De cumulatieve verzamelloonstaat is conform de richtlijnen uit het handboek loonheffingen. Ga naar: HRM / Payroll / Salarisverwerkingscockpit, selecteer de juiste periode/ klik op actie 5. Output / Verzamelloonstaat / selecteer het rapport Verzamelloonstaat cumulatief (Profit). - Wat is de gewenste weergave van de gegevens in deze loonstaat, bijvoorbeeld per periode of cumulatief? - per periode - Heb je al geprobeerd een andere rapportageoptie binnen AFAS te gebruiken die mogelijk aan jouw wensen voldoet? - ja al heel veel",HRM
Aanpassen van bestemming op Inside-pagina werkt niet na publicatie.,Probleembeschrijving: Inside pagina valt niet aan te passen naar wens Aanvullende details: - Kun je precies aangeven welke stappen je doorloopt bij het aanpassen van de bestemming op de Inside-pagina? - Ik klik op Aanpassen - Sinds wanneer ervaar je dit probleem? - Sinds het publiceren van de pagina - Heeft het aanpassen van de bestemming op deze pagina eerder gewerkt? - Nee,Algemeen
"[E-factuur] Dubbelklikken op UBL-documenten opent e-facturen verwerken, niet PDF-eigenschappen.","Probleembeschrijving: Goedemiddag, Een klant van ons werkt met e-facturen en scan en herken. Nu sturen leveranciers bij de PDF documenten ook UBL documenten. In profit komen ze dan terecht als UBL, het nadeel, de klant die kan niet meer dubbel klikken zoals hij gewend is als ze als PDF binnen komen om de eigenschappen te openen. Waarom kan dit niet als het binnenkomt als UBL terwijl de PDF er ook achter hangt? Wij horen het graag. Alvast bedankt. Aanvullende details: - Kun je precies aangeven wat er gebeurt wanneer de klant dubbelklikt op een UBL-document? - Dan opent het scherm e-facturen verwerken i.p.v. het scherm waar je de PDF ziet en de gegevens kan selecteren. - Sinds wanneer speelt dit probleem en werkte het eerder wel zoals gewenst? - Sinds de klant met scan en herken werkt, ongeveer 2 weken. - Welke stappen doorloopt de klant om bij deze situatie te komen? - Bij het dubbelklikken op een regel in de weergave e facturen verwerken.",ERP
[Shared mailbox] [Gedeelde postvakken] Vastleggen vanuit Outlook met de invoegtoepassing van E-Mail in Office 365 op een gedeeld postvak werkt niet,Probleembeschrijving: Wij hebben de AFAS knop voor het vastleggen niet in de nieuwe Outlook bij een gedeeld postvak (Shared Mailbox). Deze is alleen zichtbaar in het eigen postvak en zodra je op een andere mailbox klikt dan is deze niet meer zichtbaar. Aanvullende details: - Kun je aangeven of de knop voor het vastleggen in een gedeeld postvak ooit zichtbaar is geweest? - Nee denk het niet maar nu voor het eerst nodig gehad. - Sinds wanneer speelt dit probleem precies? - Komen het sinds vandaag tegen - Heb je recent wijzigingen aangebracht aan de instellingen van Outlook of AFAS? - Nee,Algemeen
"[installatie citrix] Citrix installatie levert andere gegevens dan in video, hulp gevraagd.","Probleembeschrijving: Momenteel ter voorbereiding op de start projectsessie deel II dienen wij Citrix te installeren. Echter, wanneer wij de instructies vanuit de video volgen krijgen wij andere gegevens te zien. Zojuist ook met onze systeembeheerder Citrix Workspace voor iedereen opengezet. Maar desondanks komen wij niet verder. Wat doen wij nu fout? Zou iemand ons hiermee kunnen helpen? Alvast bedankt. Aanvullende details: - Kun je precies aangeven welke stappen jullie hebben gevolgd en waar het verschil optreedt? - Na het downloaden van Citrix Receiver - Welke gegevens zien jullie anders dan in de video wordt getoond? Kun je hier een voorbeeld van geven of een screenshot toevoegen? - wij zien slechts een .exe bestand, maar op het moment dat wij deze selecteren - Speelt dit probleem bij meerdere gebruikers, of is het specifiek voor één gebruiker/machine? - Bij meerdere",Algemeen
"Verlofprioritering per CAO instellen, maar wordt toegepast in alle cao's","Probleembeschrijving: Per CAO een aparte verlofregeling instellen. Onze CAO WSW Sociale Werkvoorziening, geldt de regeling dat zowel Wettelijke als Bovenwettelijke verlofuren 5 jaren geldig zijn. We willen voor deze CAO de verlofrechten inrichten, dat deze eerst de ""oudste"" verlofsaldo's opneemt en niet eerst de wettelijke verlofuren en pas naar de bovenwettelijke verlofuren op gaat nemen. Nu heb ik dat in de testomgeving ingericht (zie bijlage), en alleen voor die specifieke werkgever aangezet, maar dan gaat deze ook over alle CAO's dit overschrijven. Aanvullende details: - Kun je bevestigen of je de bijlage hebt toegevoegd? Deze lijkt niet bij de melding te zitten. - ja - Kun je precies aangeven welke instellingen je hebt aangepast in de testomgeving? - zie bijlage - Kun je aangeven of je de instellingen hebt toegepast op de CAO of op de werkgever? - CAO per werkgever",HRM
[Autorisatierol] Persoonlijke rol of tijdelijke rol medewerker importeren of via connector updaten,"Probleembeschrijving: Op medewerkersniveau kan je een persoonlijke rol toekennen via tabblad Autorisatierol. kan ook via InSite via het dossieritem -126 Medewerker persoonlijke rol (Profit). Is het ook mogelijk om deze rollen te importeren of via een updateconnector eenmalig toe te kennen? Wij willen de persoonlijke rollen gebruiken voor de fiatering rollen die we in het procuratieschema hebben opgenomen. Nu werken we nog met groepen gebaseerd op een selectie. We willen de financiële key users dit laten onderhouden, alleen moeten we initieel de huidige situatie inrichten. We hebben alleen nogal veel kostenplaatsen en dus veel persoonlijke rollen. Ben dus op zoek naar een manier om de persoonlijke rollen in te lezen. Aanvullende details: - Kun je aangeven of je specifiek zoekt naar informatie voor een import via XML, Excel of handmatige input? - Via Excel - Zijn er specifieke richtlijnen die de persoonlijke rollen moeten volgen binnen jullie configuratie? - nee - Hebben jullie geprobeerd om gegevens te exporteren en formatteerbaar te maken voor herimport, bijvoorbeeld via AFAS Profit zelf? - ik kan geen importdefinitie vinden hiervoor",HRM
"[Rapport | verkooprelatieprofiel] Vertaling komt niet goed door in offerte, voorbeeld: Artikel cockpit = Special TAVA/Time out (SP00173).","Probleembeschrijving: de vertaling komt niet goed door Hier een voorbeeld van een vertaling die niet goed gaat: Artikel cockpit = Special TAVA/Time out (SP00173) zie afbeeldingen Aanvullende details: - Kun je precies aangeven wat er niet goed gaat met de vertaling? - hij staat niet goed in de offerte - Sinds wanneer speelt dit probleem? - weet ik niet - Heeft het eerder wel goed gewerkt? - volgens mij wel, maar weet het niet zeker",Algemeen
Zoeken naar profielinstellingen voor forecast in AFAS Profit.,"Probleembeschrijving: Hoi, Wij leggen regelmatig via outlook en dan vastleggen mailtjes in AFAS. Als we dit doen hebben we de optie om een forecast aan te maken en die heeft denk ik als profiel aanmaken forecast. Zoek ik deze op in profit onder algemeen - in & outsite - profiel (zou ik denken) dan vind ik deze pagina niet. Hoe kan ik deze vinden. Ik zie namelijk dat als we de verkooprelatie vullen de naam van de verkooprelatie ook automatisch invult bij de omschrijving maar dat willen we niet. Ik dacht dus even het veld na te kijken en aan te passen, maar kan het niet vinden. Weten jullie hoe ik deze kan vinden en aanpassen? Alvast bedankt. Met vriendelijke groet, Erik Vis VSL Aanvullende details: - Kun je precies aangeven welke stappen je doorloopt om de forecast aan te maken vanuit Outlook? - via outlook en dan vastleggen in profit kom je in een lijst waar ik sales aanvraag kies en dan kom ik op de pagina waar je een forecast kan aanmaken (welke anders is dan forecast aanmaken debiteur). - Sinds wanneer speelt dit probleem? - Denk al langere tijd - Heb je eerder geprobeerd het profiel aan te passen, en werkte dat toen? - nee",Algemeen
[Inrichting] Opslaan van PDF als bijlage onder dossieritem in project lukt niet.,"Probleembeschrijving: Goedemorgen, ik heb een vraag. Wij werken met dossieritems waarin we een orderbevestiging maken en vervolgens een werkorder. Deze kunnen we afdrukken en dan opent die een pagina met pdf. Deze kunnen we dan opslaan en vervolgens exporteren naar een externe database. Echter zouden we graag willen dat we deze pdf onder het dossieritem als bijlage kunnen opslaan en terugvinden in dossier van het project. We zien wel de werkorder als dossieritem in het project maar niet de pdf als bijlage. Nu hebben we al verschillende dingen uitgeprobeerd, maar krijgen het niet voor elkaar. Weten jullie of dit mogelijk is en als we hiervoor moeten betalen om dit samen met iemand van AFAS in te richten is dat voor ons ook goed, maar wij komen hier niet uit en hebben al veel tijd geprobeerd om dit voor elkaar te krijgen maar nog zonder succes. Misschien is het ook helemaal niet mogelijk en dan moeten we naar een alternatief zoeken, maar omdat het met bijv de factuur ook kan en die zien we wel lijkt het me met de werkorder ook te moeten lukken. Bedankt alvast voor jullie reactie. Met vriendelijke groet, Erik Vis Aanvullende details: - Kun je precies aangeven welke stappen je doorloopt om de pdf te genereren en op te slaan? - we hebben geprobeerd een document te koppelen aan het dossieritem maar dat gaf foutmeldingen. - Heb je geprobeerd specifieke instellingen of workflows aan te passen om de pdf als bijlage toe te voegen? - ja ook maar dat lukte ons ook niet. - Is het mogelijk om een voorbeeld van een dossieritem met factuurbijlage en werkorder zonder bijlage toe te voegen, zodat we dit kunnen vergelijken? - ja",Algemeen
"Ouderverlofaanvragen zijn niet zichtbaar voor teamleads, controleer workflows.",Probleembeschrijving: Er gaat iets niet goed met de ouderverlofaanvragen: de teamleads zien ze niet meer verschijnen. Kunt u kijken of er iets in de workvlows is veranderd? Aanvullende details: - Waar loop je precies tegenaan? Kun je meer details geven over wat de teamleads niet zien en waar ze dit normaal zouden moeten zien? - zie boven - Sinds wanneer speelt dit probleem? - sinds een paar eken - Tot wanneer werkte het nog wel? Is er sindsdien iets gewijzigd/aangepast in de workflows of instellingen? - dat kan ik niet meer goed achterhalen. maar ze zagen de aanvragen altijd wel.,HRM
[Draaiboek sollicitant] Is het vanaf Profit 6 mogelijk om vrije dossieritems te gebruiken vanuit draaiboek sollicitant?,"Probleembeschrijving: Ik heb begrepen van mijn collega's, die gisteren aanwezig waren bij de bootcamp Onboarden, dat er vanaf profit 6 gebruik gemaakt kan worden van vrije dossieritems bij de draaiboeken vanuit sollicitant. De trainer heeft dit tijdens de bootcamp bekend gemaakt. Zouden jullie dit willen bevestigen? Want dit heeft flinke impact op de wijze waarop wij de draaiboeken inrichten. Als de keuze is gemaakt om wel vrije dossieritems toe te staan bij draaiboeken dan horen wij dat graag. En als dat zo is, zou er dan een patch in profit 5 beschikbaar kunnen komen waarmee dit wordt geregeld? Want we willen graag het hele onboarden proces doortesten in profit 5 voordat we overgaan naar profit 6. Om te voorkomen dat we het risico lopen dat de inrichting in profit 6 op het allerlaatste moment binnen korte tijd door ons ingericht dient te worden. Aanvullende details: - Kun je bevestigen of dit een vraag is over functionaliteit in Profit 6? - ja - Wil je weten of vrije dossieritems beschikbaar zijn in draaiboeken voor sollicitanten vanaf Profit 6? - ja - Vraag je specifiek naar de mogelijkheid van een patch voor Profit 5 om deze functionaliteit te testen? - ja",HRM
[Wachtrij] Loonstrook via wachtrij automatisch verstrekken geeft fout | The operation has timed out.,"Probleembeschrijving: Afdrukken van de loonstroken is een geautomatiseerd proces, met enig regelmaat gaat dit proces mis. De foutinformatie bevat technische informatie. Kunnen jullie deze uitleggen, zodat we dit kunnen voorkomen? Uiteindelijk hebben de stroken handmatig alsnog verstuurd, het is echter prettig als hier geen omkijken naar is. Aanvullende details: - Waar loop je precies tegenaan bij het afdrukken van de loonstroken? - Dat deze niet worden verstuurd - Sinds wanneer speelt dit probleem? - Zie bijlage - Tot wanneer werkte het afdrukken van de loonstroken nog wel? Is er sindsdien iets gewijzigd? - Elke periode worden bij 6 werkgevers de stroken automatisch verstuurd. Incidenteel gaat het mis, zie screenshot",HRM
"[Plaatsing | versie] Foutmelding bij plaatsingen in klantovereenkomst, consistent bij specifieke plaatsingen. Object variable or With block variable not set","Probleembeschrijving: Bij sommige plaatsingen ontstaat de volgende foutmelding (Profit en InSite). Alle plaatsingen in dezelfde klantovereenkomst geven deze foutmelding. Andere klantovereenkomsten hebben deze foutmelding niet. Het is onduidelijk wat dit veroorzaakt. •Contactpersoon is gekoppeld aan organisatie, met actieve gebruiker op klantportal •Contactpersoon kan inloggen in klantportal (@Robin van Gemert | Haldu Groep kun je hier verwijzen naar de andere melding met dat meldingsnummer?) •Dezelfde plaatsing in de testomgeving (kopie van live op 6 april) is wel aan te passen met de beoogde contactpersoon In elk geval bij plaatsingen: 425 (bijgevoegde afbeeldingen), 484, 645, 635, 507, 522 komt deze foutmelding (dit zijn steekproeven) Bij plaatsingen: 64, 145, 575, 430, 625 kan de plaatsing(-sversie) aangepast worden zonder foutmelding (dit zijn steekproeven) Aanvullende details: - Kun je precies aangeven welke foutmelding wordt weergegeven? - Zie bijlage - Kun je bevestigen of de foutmelding consistent optreedt bij de genoemde plaatsingen? - Ja - Zijn er specifieke verschillen tussen de plaatsingen die wel en niet werken? - Nee",Algemeen
"Wachten op printerverbinding bij het starten van de Omgeving, herhaaldelijk.","Probleembeschrijving: Bij het starten van de Omgeving krijg ik en veel anderen een meldingsvenster 'Wachten op printerverbinding' Dit speelt sinds een maand. Het is heel irritant, want het onderbreekt telkens waar je mee bezig bent. Je kunt wel Annuleren, maar dan komt hij toch weer terug. Doet hij zo'n 6 keer. Het maakt niet of we op kantoor of thuis werken. Het gebeurt ook bij alle omgevingen. Aanvullende details: - Kun je aangeven of er recent wijzigingen zijn doorgevoerd in de printerinstellingen of de netwerkconfiguratie? - Geen idee. Het speelt ook bij meerdere omgevingsnummers. - Heb je al geprobeerd de printerinstellingen in de software of op de computer te controleren? - Nee, maar het speelt overal, dus dat zou niet het probleem moeten zijn. - Kun je bevestigen of de printer correct is aangesloten en beschikbaar is op het netwerk? - Ja. We kunnen overal gewoon printen.",Algemeen
[Foutmelding] Foutmelding bij financiële mutaties in inkoopboeking: kan niet verder met Profit.  Cannot call Arrange on a UIElement with infinite size.,"Probleembeschrijving: Ik krijg een foutmelding, deze kan ik niet wegklikken en daardoor kan ik ook niet verder profit gebruiken. Aanvullende details: - Kun je aangeven in welke module of scherm van Profit deze foutmelding verschijnt? - Bij financiele mutaties (inkoopboeking) - Sinds wanneer ervaar je dit probleem, en werkte het daarvoor zonder problemen? - Sinds 20 minuten geleden, daarvoor kon ik wel inkoop nakijken en aanpassen - Heb je al geprobeerd om de applicatie opnieuw op te starten of een andere browser/machine te gebruiken? - Ja, maar wanneer ik de applicatie weer open, krijg ik meteen de foutmelding",ERP
"Aanpassen van periodetabel van ""4 weken Financieel"" naar ""Maand Financieel"" niet mogelijk.","Probleembeschrijving: In de omgeving 97729AA administratie Green Teams Europe Group B.V. is door de inrichter onder de instellingen van de administratie - Balans - Periodetabel financieel ""4 weken Financieel"" geselecteerd. Dit moet de periodetabel Maand financieel zijn. Is dit op enig manier aan te passen? Aanvullende details: - Kun je bevestigen of er al transacties zijn geboekt in de administratie met de huidige periodetabel? - Er zijn al mutaties geweest - Heb je geprobeerd om via 'Instellingen' > 'Administratie-instellingen' dit aan te passen, en wat gebeurde er toen precies? - Staat als niet aan te passen - Is het mogelijk dat we toegang krijgen tot een schermafbeelding van waar deze instelling zichtbaar is (indien niet inbegrepen)? - Is toegevoegd",ERP
[Mailserver] [Entra] Koppelen van een aparte Entra-ID voor de testomgeving is niet mogelijk.,"Probleembeschrijving: Voor het Type mailserver Entra-ID willen we voor de testomgeving een nieuwe (extra) Entra-ID, kan dat? Nu kunnen we een testomgeving alleen koppelen aan het Entra-ID wat ook gekoppeld staat in de live omgeving. Met vriendelijke groet, Bert Westland Aanvullende details: - Kun je precies aangeven wat je bedoelt met een nieuwe (extra) Entra-ID? - Een aparte Entra-ID voor onze testomgeving - Kun je toelichten wat je probeert te bereiken met een nieuwe Entra-ID? - Onderscheid kunnen maken tussen live en test - Kun je aangeven wat je al hebt geprobeerd om dit te realiseren? - Is nog niet mogelijk",Algemeen
"Pakbon kan niet vrijgegeven worden na gereedmelding, hoe dit op te lossen?","Probleembeschrijving: als een pakbon is gereedgemeld kan ik deze met geen mogelijkheid meer vrijgeven. hoe kan dit opgelost worden? kan dit via een vink op pakbon niveau? of op regelniveau toevoegen dat je dit terug kunt draaien of vrij geven? Aanvullende details: - Kun je precies aangeven welke stappen je doorloopt voordat de pakbon gereed wordt gemeld? - het gereedmelden lukt, dat is geen probleem. - Sinds wanneer ervaar je dit probleem? - vanaf het begin van het gebruilk - Heeft het eerder gewerkt en is er sindsdien iets veranderd in de instellingen of processen? - nee niet eerder gewerkt.",ERP
"Fout bij verzenden van BTW-aangifte, geen specifieke foutmelding gegeven.","Probleembeschrijving: BTW aangifte klaargezet. Bij het verzenden is er een foutmelding. Hoe zorg ik ervoor dat de aangifte alsnog ingezonden kan worden. Aanvullende details: - Kun je precies aangeven wat de foutmelding inhoudt? - Fout bij verzenden is de enigste melding - Sinds wanneer ervaar je dit probleem? - Sinds vandaag, Alleen bij administratie 82. Bij een andere administratie de aangifte die later is gemaakt word gewoon verzonden. - Heb je gecontroleerd of de instellingen voor de BTW-aangifte correct zijn? - Ja. zie ook info hierboven.",ERP
"[Contractverlening] Aanpassen van fte per dag bij medewerker niet mogelijk, velden zijn uitgegrijsd | Standaard rooster","Probleembeschrijving: Goedemorgen, Bij het verlengen van een contract via Insite lukt het bij één medewerker niet om de fte per dag aan te passen. Deze velden zijn uitgegrijsd alsof ze niet aanpasbaar zijn. In de context zijn ze wel ingesteld als aanpasbaar en bij andere medewerkers kan het wel. Wat kan ik hieraan doen? Met vriendelijke groet, Loes de Waele Aanvullende details: - Bij welke medewerker speelt dit probleem precies? - Naomi Jacobs 100590 - Kun je bevestigen of er specifieke instellingen of afwijkingen zijn bij deze medewerker die anders zijn dan bij anderen? - Volgens mij niet. Het enige verschil is dat zij van fulltime naar parttime gaat. - Heb je al geprobeerd de contextinstellingen opnieuw te controleren of aan te passen? - Ja, maar die staan (volgens mij) correct ingericht.",HRM
[Vervoermiddel] Kilometerstand uitvragen geeft foutmelding: De einddatum van het leasecontract mag niet kleiner zijn dan de einddatum van het vervoermiddel contract bij medewerker X,"Probleembeschrijving: Ik wil de kilometerstanden uitvragen via HRM - Mobiliteit - Vervoermiddel - Acties - Kilometerstand uitvragen. Bij 2 medewerkers krijg ik de melding De einddatum van het leasecontract mag niet kleiner zijn dan de einddatum van het vervoermiddel contract bij medewerker X. Dit is bij Bernard de Boer en Jarno ten Broek. Echter is m.i. die datum gelijk, zie toegevoegde afbeeldingen. Dus ik weet niet waarom deze foutmelding nou komt. Aanvullende details: - Kun je bevestigen of de einddatums van zowel het leasecontract als het vervoermiddel contract exact gelijk zijn in de database? - Ja m.i. wel. - Heb je gecontroleerd of er geen spaties, onzichtbare tekens of tijdstippen bij deze datums staan die een verschil kunnen veroorzaken? - Sure - Zijn er nog andere medewerkers waarbij dit probleem speelt, naast Bernard en Jarno? - Nee",HRM
[Digipoort] Geen VIA-gegevens ophalen bij het openen van IB 2024.,Probleembeschrijving: Ik kan geen VIA gegevens ophalen. Aanvullende details: - Kun je aangeven of de foutmelding consistent optreedt bij alle pogingen om VIA-gegevens op te halen? - ja - Heb je gecontroleerd of er wijzigingen zijn geweest in de instellingen van Digipoort of AFAS Software sinds het probleem begon? - nee - Kun je precies beschrijven welke stappen je volgt voordat de foutmelding verschijnt? - Ik open de IB 2024 bij de klant. Daarna open ik de optie 'VIA ophalen'.,ERP
"[icp-aangifte | verzenden mislukt] Foutmelding bij versturen ICP-aangifte: ""Het is - met de huidige verzendstatus - niet toegestaan de aangifte te verwijderen.""","Probleembeschrijving: Mijn collega Manon Belfroid krijgt een foutmelding bij het versturen van de btw/ICP aangifte van Stal Romano in omgeving Verbeek & Partners. De BTW-aangifte is wel verzonden, maar de ICP-aangifte niet. Deze kan ook niet meer verwijderd worden, omdat de BTW-aangifte wel verstuurd is. Aanvullende details: - Wat is de exacte foutmelding die Manon Belfroid ontvangt bij het versturen van de ICP-aangifte? - Het is - met de huidige verzendstatus - niet toegestaan de aangifte te verwijderen, om te voorkomen dat deze aangifte na verwijderen nogmaals wordt ingezonden. Een aangifte voor een periode mag maximaal één keer verzonden worden naar de Belastingdienst. Correcties in een voorgaande aangifteperiode boven de €1.000 worden automatisch opgenomen in een suppletie aangifte en correcties onder de € 1.000 gaan automatisch mee in de aangifte van de volgende periode. ================================================================ Description.....: [MESSAGE]: Het is - met de huidige verzendstatus - niet toegestaan de aangifte te verwijderen, om te voorkomen dat deze aangifte na verwijderen nogmaals wordt ingezonden. Een aangifte voor een periode mag maximaal één keer verzonden worden naar de Belastingdienst. Correcties in een voorgaande aangifteperiode boven de €1.000 worden automatisch opgenomen in een suppletie aangifte en correcties onder de € 1.000 gaan automatisch mee in de aangifte van de volgende periode. Type............: Afas.Profit.MessageException HResult.........: -2146233088 (0x80131500) Source..........: AfasFiMain TargetSite......: Void DeleteLastHandler(System.String) DeclaringType...: AfasFiMain.AfasFiVatIctFile, AfasFiMain ProductVersion..: 209.14008.48649966+20241205130542.r1.1f97c36b48cdd5e30bdc8a434864cd9ad9c6cbb6 ---------------- Action Id.......: mcDeleteLast Action Form.....: AfasFiMain.AfasFiVatIctFile Action View.....: (Fi, Vif01) ================================================================ at void AfasFiMain.AfasFiVatIctFile.DeleteLastHandler(string parActionId) in C:/Dev/profit-release/08/src/Financial/Projects/AfasFiMain/Class Modules/AfasFiVatIctFile.vb:line 1118 at void AfasFiMain.AfasFiVatIctFile.OnViewAction(ViewAction parSender, ViewActionEventArgs parEventArgs) in C:/Dev/profit-release/08/src/Financial/Projects/AfasFiMain/Class Modules/AfasFiVatIctFile.vb:line 357 at void Afas.Profit.Forms.ActionBase.InternalExecute() in C:/Dev/profit-release/08/src/Anta/Projects/Cool Projects/Afas.Profit.Forms/FormDefinitions/ActionBase.cs:line 375 at void Afas.Profit.Forms.ActionBase.ForceExecute() in C:/Dev/profit-release/08/src/Anta/Projects/Cool Projects/Afas.Profit.Forms/FormDefinitions/ActionBase.cs:line 343 ================================================================ Version.........: 2.9.1400.8 EnvironmentId...: O61361AB UserId..........: 61361.Jolanda.v.Mook AppMode.........: 0 Time............: 17-04-2025 14:15:54.791 +02:00 Session.........: AFAS\61361.Jolanda.v.Mook on AFAS\XENAPPP13070$ UnitId..........: 385 MemberId........: 61361 MemberNumber....: 61361 - Kun je bevestigen of de foutmelding in de bijlage overeenkomt met de foutmelding die je in de omschrijving hebt genoemd? - Ja - Welke stappen heeft Manon Belfroid precies doorlopen bij het versturen van de ICP-aangifte? - Definitief stellen, klaarzetten, verzenden/ontvangen",ERP
XBRL is ongeldig bij indienen IB-aangifte 2024 door taxonomie regels.,"Probleembeschrijving: Ik heb een probleem ondervonden bij het indienen van een IB-aangifte vanuit AFAS in MKW Online. De aangifte verscheen niet in de portal en gaf een foutmelding. Zie bijlage ""Deze XBRL is ongeldig"" Dit probleem werd tijdelijk opgelost door een spatie toe te voegen achter een dubbele waarde, maar dit is geen structurele oplossing. De dubbele waarde betreft bedragen die gesplitst zijn door een huwelijk, wat fiscaal correct is, maar niet door de validatie komt vanwege taxonomie regels. Zie bijlage: ""Inkomen uit aanmerkelijk belang"" Pinkweb heeft aangegeven dat het aanpassen van de taxonomie niet eenvoudig is en waarschijnlijk door AFAS moet worden aangepakt. Valt dit op te lossen of is dit niet mogelijk? Aanvullende details: - Kun je precies aangeven welke foutmelding er wordt weergegeven bij het indienen van de aangifte? - XBRL is ongeldig - Over welk fiscaal jaar gaat deze aangifte? - IB aangifte 2024 - Kun je bevestigen of dit probleem speelt bij meerdere aangiften of cliënten, of slechts bij één specifieke situatie? - taxonomie aanpassing",ERP
[Client IB | Partner | Accountancyportal] Toegang tot accountancyportal voor parteraangifte.,"Probleembeschrijving: We lopen vast en hopen dat jullie ons kunnen helpen. Het gaat om de aangiften IB 2024 van de heer B.H. Ten Haken en mevrouw M. Ten Haken - Linsen. Alleen van mevrouw hebben we een e-mailadres. We hebben voor beiden een aangifte klaargezet via het klantportaal, met de bedoeling dat beide aangiften via haar portaal worden aangeboden en door haar geaccordeerd kunnen worden, omdat we van meneer geen e-mailadres hebben. In Profit heb ik mevrouw bij meneer als bestaand contactpersoon toegevoegd onder het onderdeel ""Contacten"". Als ik echter op ‘Portal toegang’ klik en wil inloggen, krijg ik de volgende foutmelding: “Controleer in alle omgevingen (incl. ‘…’) of er een gebruiker actief is met dit e-mailadres. Ga naar help.afas.nl en zoek op de melding voor meer informatie.” Mijn vraag is: -Is het mogelijk om beide aangiften via hetzelfde portaal (van mevrouw) aan te bieden voor accordering? -Wat moet ik aanpassen om dit goed werkend te krijgen? -Bij taak staat de status nu op 'klant', dus voor ons lijkt alles weg te zijn. Had ik ergens kunnen controleren dat dit niet goed ging of dat de aangifte dus niet zichtbaar is bij mevrouw? Alvast bedankt voor jullie hulp! Aanvullende details: - Kun je precies aangeven welke stappen je hebt doorlopen om mevrouw als contactpersoon bij meneer toe te voegen? - Aangifte is al verzonden, maar alleen die van mevrouw is zichtbaar in haar portaal. Bij meneer hebben we wel mevrouw haar profiel toegevoegd in profit. maar portal toegang vinkje staat uit, want email mag niet dubbel ingevoerd worden. - Heb je gecontroleerd of het e-mailadres van mevrouw al in gebruik is in een andere omgeving? - Ja die word gebruik bij mevrouw zelf - Kun je bevestigen of de foutmelding optreedt bij het instellen van de portal toegang of bij het accorderen van de aangiften? - nvt",ERP
Aanpassen van 5 mei als nationale feestdag in de cao instellingen.,"Probleembeschrijving: In onze cao is 5 mei geen nationale feestdag, ook niet een keer in de 5 jaar. Echter staat dit wel bij de GGI nu. Hoe kan ik dit aanpassen? Aanvullende details: - Kun je aangeven waar je precies ziet dat 5 mei als nationale feestdag staat ingesteld? - Dit staat bij de afas app op niet beschikbaar. - Kun je een screenshot of een beschrijving van de instellingen van de feestdagen in de CAO toevoegen? - j - Heb je al geprobeerd de feestdaginstellingen in de CAO aan te passen? - ja",HRM
Foutmelding bij openen beoordeelpagina onboard (-170): The given key 'Z30' was not present in the dictionary.,"Probleembeschrijving: Foutmelding bij openen beoordeelpagina onboard (-170). Ik kan geen beoordeelpagina meer benaderen van de onboarden workflows. Ik krijg dan een foutmelding: The given key 'Z30' was not present in the dictionary. Ik heb in diverse browsers getest en in een incognito browser, maar dat levert ook geen resultaat op. Aanvullende details: - Waar loop je precies tegenaan bij het openen van de beoordeelpagina? - Ik krijg direct bij het openen een foutmelding met: Er is iets misgegaan tijdens het weergeven van deze pagina. Laad de pagina opnieuw of ga naar een andere pagina om door te gaan. - Sinds wanneer speelt deze foutmelding? - Sinds 17-04-2025 - Tot wanneer werkte het nog wel en is er sindsdien iets gewijzigd in de workflows of instellingen? - werkte voor 17-04-2025 nog wel",HRM
