Onderwerp,Kenmerk
"[Inkoop / Zorg] Mogelijkheid om voorraadartikelen te blijven bestellen via bestelvoorstel, maar wel verstrekken via XML. Wat zijn de gevolgen van switch van PDF naar XML?",ERP
[autorisatietool][gebruikersgroep] Er is geen administratie actief. Je hebt geen toegang op één van de administraties op basis van de autorisatie,HRM
[Stagiair][Pensioenaangifte] Stagiaire wordt onterecht aangeleverd in 2024,HRM
Overzicht brutouurlonen met afwijkend uurloon ontbreekt in rapporten en analyses.,HRM
[Rekeningnummer belastingdienst] Betaling belastingdienst pakt verkeerd rekeningnummer van AVRB in plaats van Perfection.,ERP
Status wens Meerdere kostenplaatsen per contractregel,ERP
[Verlof] Verlof aanvragen uitschakelen in AFAS InSite en AFAS Pocket voor alle gebruikers.,HRM
Voorkeurwaarde voor vrij veld “Ter attentie van (30)” wordt niet getoond in boekingslay-out “Inkoopaanvraag - Dustin”.,ERP
[Plaatsing | sluiten] Terugdraaien van declaraties 000000006560.01 en 000000006561.01 geven de foutmelding: De ingevulde waarde voor veld 'Dossieritem' bestaat niet. Gebruik het zoekvenster om een waarde te selecteren.,ERP
"[Aangifte] Het parttime percentage dat u doorgeeft, is hoger dan toegestaan. Controleer en corrigeer het parttime percentage en doe opnieuw pensioenaangifte.",HRM
"[Bankkoppeling] Salarisverwerking loskoppelen van bankkoppeling, automatische verwerking blijft actief.",HRM
"[Licentie] Licentie limiet bereikt: gebruikt 184, maximum 170, terwijl er 176 actieve medewerkers zijn.",HRM
"[Licentie] Licentie limiet bereikt: gebruikt 184, maximum 170, terwijl er 176 actieve medewerkers zijn.",HRM
[Doorlopend verzuim] Signaleren van doorlopend verzuim bij gelijke reden na zwangerschap/bevalling.,HRM
[Workflow] Actieknop niet zichtbaar op InSite voor externe beoordelaar,Algemeen
[Digitaal ondertekenen] Foutmelding bij ondertekenen | Cannot sign encrypted document. Invalid decryption mode,HRM
"Foutmelding ""Not logged in"" bij integratiepagina voor interne vacatures.",HRM
[Rente][Looncomponent] Welk looncomponent is te gebruiken voor de (wettelijke) rente betaling salaris,HRM
[CAO Woondiensten] Vragen over de inrichting van salaristabellen en instapsalarissen in CAO-Woondiensten.,HRM
[CAO Woondiensten] Vragen over de inrichting van salaristabellen en instapsalarissen in CAO-Woondiensten.,HRM
Accordering ongedaan maken op nacalculatieregel(s) lukt niet: One or more lines are invoiced already,ERP
[Bezettingsoverzicht] Filters toepassen op Medewerker bezettingsoverzicht MSS voor specifieke dienstbetrekkingen.,HRM
"[RVU] RVU-uitkering onterecht volledig uitbetaald in april, moet halverwege stoppen.",HRM
"[Eigen dossieritem] Geen toegang tot pagina in SelfServicePortal voor medewerkers: ""Je hebt geen toegang tot deze pagina.""",HRM
Vragen over het leveren van tokens vanuit een groep en template-updates in Power BI.,Algemeen
Wat gebeurt er precies bij selectie 'Gehele factuur' voor incasso?,ERP
"Foutmelding bij onboarding rijdend personeel: ""De geselecteerde periodetabel kan niet gebruikt worden voor HRM/Payroll.""",HRM
Optie 'gelijk journaliseren' niet zichtbaar bij declaraties factureren.,ERP
[CAO Woondiensten] Verwerking van salarisregel voor medewerker in instapschaal | Welke salaristabel?,HRM
[Fout][RBI] Foutmelding bij verzenden loonbelastingaangifte: Error executing request.,HRM
[Workflows] Workflow aanmaken die start bij afsluiten plaatsing en ingaat per 1-6-2024.,Algemeen
[Salarisverwerking] Hoe wordt looncomponent ''Gemiddelde meeruren over referteperiode t.b.v. ziekengeld'' (135.021.505) berekend?,HRM
Wijzigingen in formatieverdelingsregels zijn niet zichtbaar op de beoordeelpagina.,Algemeen
[Klantportal] [Cursus] Opgeven nieuwe medewerker voor AFAS trainingen met privé e-mailadres en later wijzigen.,HRM
Begeleidend e-mail sjabloon voor incassoklanten toont dubbele factuurregels.,ERP
[Aangifterapport] Geen aangifte rapporten selecteerbaar voor,HRM
"[Project I niet I ingevuld] Projectnummer niet zichtbaar bij openstaande posten, ondanks correcte factuurinstellingen.",ERP
[KvK | Deponeren | Rapport] Foutmelding bij deponeren cijfers 2023: exacte beschrijving van de foutmelding ontbreekt.,ERP
"[Conditie] Onterecht afgeronde items in workflows door foutieve conditie ""Datum uitdienst <[Vandaag]"".",HRM
"[Geblokkeerde gegevens] Afschrift van 13 maart geblokkeerd na vastlopen in Afas, geen blokkering zichtbaar.",ERP
"[Geblokkeerde gegevens] Afschrift van 13 maart geblokkeerd na vastlopen in Afas, geen blokkering zichtbaar.",ERP
[Roosterwijziging] Veld Organisatorische eenheid niet bijgewerkt in InSite na wijziging.,HRM
"[Balans en Toelichting op de balans met tekst] Rapport ""Balans"" niet zichtbaar in Rapportagecockpit, terwijl het onder beheer staat.",ERP
Dossierprofiel blokkeren in AFAS Pocket geeft foutmelding: Kan het profiel niet opslaan. Het is niet toegestaan om een profiel te blokkeren als dit nog in gebruik is. Het profiel is nog in gebruik bij de instellingen AFAS Pocket.,Algemeen
[autorisatie] Toegang tot Afas voor externe partij met rechten voor alle tabellen en connectoren.,Algemeen
[Inkoopfactuur | verplichting | geblokkeerd voor betaling] Facturen van crediteur Adyen worden zonder beoordeling goedgekeurd in administratie 8.,ERP
[Kenmerk | Betaalopdracht | Boekstuk | Factuur] Batchbetaling toont geen factuurnummers in de omschrijving voor MCB Direct.,ERP
Vervanger instellen voor zieke leidinggevende met dezelfde taken.,HRM
[Inkoopfactuur | workflow] Beoordelaar in de workflow wordt niet aangepast na wijzigen van beoordelaar in de financiële mutatie,ERP
"Vragen over dataveiligheid, architectuurplaten en kosten van de OpenAI service.",Algemeen
SBI-indeling 2025: biedt AFAS ondersteuning voor conversie en import van codes?,Algemeen
[Onboarden] De ingevulde waarde voor veld 'Cao' bestaat niet. Gebruik het zoekvenster om een waarde te selecteren.,HRM
[Flex] G-rekening verschijnt niet op de factuurrapporten. Was aanwezig maar is nu verdwenen. Geen project of klantovereenkomst in de kop van de factuur zichtbaar.,Algemeen
[Autorisatie I InSite] Toegang geweigerd bij openen notitie 'Bonus over 2024': Je hebt geen toegang tot deze pagina.,Algemeen
"[BTW verlegd] Btw wordt niet berekend op factuur, foutmelding D018.",ERP
[Contract] Contractverlenging stagiaire mislukt door foutmelding: 'Soort medewerker' moet gelijk blijven.,HRM
[Medewerker] Zoeken naar AOW-leeftijd van medewerker in Profit en automatische berekening controleren.,HRM
[Workflow] Onboarden met contractvoorstel - ACSI NIEUW is niet zichtbaar.,HRM
"Zoeken naar een gebruiker in CRM zonder resultaat, ondanks aanmaak als medewerker en sollicitant.",Algemeen
[Vervoerder] Overzetten aanlevering van EXW naar FCA en opties in 'vervoerder' ontbreken.,ERP
[Weergave][Formatieverdeling] Formatieverdelingsregels en percentages tonen in medewerkersweergave lukt niet.,HRM
[Licentie] Testomgeving instellen voor O38817AA zonder wekelijkse kopie.,Algemeen
[Verzuim] Logging tijdstip ziekmelding en tijdzoneverschil; welke gegevens worden gebruikt?,HRM
"Veld 'Mobiel werk' is niet zichtbaar in weergave 'Medewerkers (alle) uitgebreid', ondanks actieve zichtbaarheid.",HRM
[Facturen | Autorisatie] Facturen kunnen niet worden aangepast; tekstregel blijft grijs. Kan geen nieuwe regel toevoegen aan facturen,ERP
Vraag over unieke combinatie van velden in getconnector Azure_Salarisverwerking_inc voor dublieken.,Algemeen
[Rapport I overlap] Factuurdetails lopen door voettekst heen bij lange specificaties.,ERP
[Onboarden] Velden Verantwoordelijke en Organisatorische eenheid,HRM
"BTW tariefgroep geblokkeerd bij aanmaken nieuwe bestelling via OCI, controleer wijzigingen.",ERP
"[Onboarden] Knop ""aanpassen"" blijft zichtbaar bij ondertekenen arbeidsovereenkomst, ondanks autorisatie-instellingen.",HRM
[partijnummers | partijartikel  | samenstelling | maakartikel] Foutmelding bij omzetten productieorder naar productiebon: serie- en/of partijinformatie ontbreekt.,ERP
[Intern | Verkeerde Abbo] Foutmelding bij wijzigen journaalpost na conversie naar Profit ERP: exacte melding onbekend.,ERP
[Onboarden] Aanpassen standaardwaarde veld Actie lopend dienstverband naar leeg lukt niet.,HRM
"[BTW/ICP] BTW-aangifte openen in administratie 'Inspirateurs' lukt niet, geen foutmelding.",ERP
Mogelijkheden voor het ruilen van feestdagen in AFAS Profit.,HRM
"[Blokkade] AFAS blijft hangen bij debiteuren factuurboeking: ""Deze factuur is volledig geblokkeerd"".",ERP
[WFI 30-04] Kwartaalsuppletie voor vierde kwartaal 2024 genereert niet automatisch.,ERP
Weergave van openstaande acties in Dossier toont geen -5 inkoopfacturen.,Algemeen
Aanpassing BHV-vergoeding per 1 juli in CAO VVT,HRM
[Declaratie | wijzigen] Declaratie 000000011256.01 kan niet gewijzigd worden; velden zijn niet muteerbaar. Declaratie is niet goedgekeurd of geaccordeerd. Declaratie is geaccordeerd voor payroll,Algemeen
Geen bankdata ontvangen van Rabobank rekeningen sinds 3 april 2025.,ERP
Definities van de rollen 'contracteigenaar' en 'contractverantwoordelijke' in AFAS.,ERP
[Signaal] Foutmelding bij het openen van signalen in Geplande taken: voltooid met fouten. Subject combination must exist. The comparevalue of the signaldefinition 'X' is not unique. Validate the comparevalue of the definition,Algemeen
[Workflow]Taken blijven zichtbaar in takenlijst HR medewerkers zonder afhandelopties. | Fout bij het uitvoeren van gegevensverzameling 'Dossieritem'. Het versturen van een e-mail met berichtsjabloon 'Workflowactie uit dienst' is niet gelukt,Algemeen
Inrichten van InSite-pagina en inkoopportaal met specifieke tegels en functionaliteiten.,ERP
Inrichten van InSite-pagina en inkoopportaal met specifieke tegels en functionaliteiten.,ERP
"[Rapport | inrichting] Aanpassingen in verkooprapport ""Produlab - Verkoopfactuur"" voor pakbon en transportregel.",ERP
BTW aangifte ID zichtbaar maken in financiële mutaties kolom.,ERP
BTW aangifte ID zichtbaar maken in financiële mutaties kolom.,ERP
Blanco berichtensjabloon bij openen van factuur- en herinneringssjablonen.,Algemeen
[Rapport | Inrichting] Rapporten vanuit Verkooprelatieprofiel tonen alle talen in plaats van enkel ENG. Op orders en offertes afwijken van standaard rapport en gebaseerd op taal de mogelijke rapporten tonen.,ERP
[Rapport I inrichting] Factuurtekst aan debiteur wordt niet afgedrukt op PDF factuur.,ERP
"Inkooprelatie aanmaken met verplicht Iban-veld terwijl profiel ""Iban niet verplicht"" is.",ERP
Verschil in boekingen tussen boekingsdatum en boekstukdatum bij inkoopfacturen.,ERP
[Verlof][Periodetabel] Fout tijdens bijwerken nacalculatie per week.Datum '30-12-2025' komt niet voor in de gekozen periodetabel (12).Vul deze periodetabel aan.,HRM
"[Worklfow] Geen gekoppelde gebruikers voor specifieke workflow taak, signaal ontvangen.",Algemeen
[Signaal] The destination Medewerker is not possible with BasicContact 0.,Algemeen
[Profiel] Onboarden workflow mislukt door niet-bestaande waarde in veld 'werkgever'.,HRM
"[abonnement] Geen facturen zichtbaar in dossier KLT-109662, terwijl abonnementsfacturen zijn aangemaakt.",ERP
Instellen van een filter voor medewerkers op basis van kennisniveau in workflow.,Algemeen
Foutmelding bij genereren signaal abonnement: Subscription X is not linked with BasicContact Y,Algemeen
[Pocket] Een of enkele gebruikers ontvangen de activatiemail van AFAS Pocket niet,Algemeen
E-facturen boeken met 1 regel en bedrag zonder BTW in AFAS.,ERP
[Adreswijziging] Adres wijziging geeft foutmelding: Kan de waarde van de parameter niet opslaan. Zowel de toepassing als het dienstverband is niet gevuld,HRM
[Werkgeversverklaring] Salarisgegevens van dienstverband 1 worden getoond bij aanvraag voor dienstverband 2.,HRM
"Fout bij verzenden van BTW aangifte: ""Er is een fout opgetreden bij het verzenden en ontvangen van de berichten.""",ERP
[Pocket] Geen koppeling beschikbaar in AFAS Pocket voor 2-factor authenticatie.,Algemeen
"[Flex] [periodeverloning | item kostensoort | verlonen] Kostensoort voor OV-kosten wordt toch naar Payroll gestuurd ondanks vinkje ""Verl."" niet aangevinkt.",Algemeen
Niet-benutte zelfstandigenaftrek uit voorgaande jaren wordt niet benut in aangifte 2024.,ERP
"Analyse toont geen mutaties, terwijl deze wel aanwezig zijn bij het artikel.",ERP
"Foutmelding ALG0001 bij registratie deponering in Handelsregister, contact KvK voor vragen.",Algemeen
[Betalingscockpit] Medewerker is niet meegenomen in het betaalbestand,HRM
"Uitbetaling IKB werkt niet bij invoeren opdracht in AFAS, geen foutmelding zichtbaar.",HRM
"[PCC] Opslaan in Profit lukt niet op Apple, terwijl het op Windows wel werkt.",HRM
Aantal regels/deelnemers tonen op rapport deelnemers per evenement,Algemeen
[consultancymodus][Verwerkingscode]Vakantietoeslag op aparte loonstrook,HRM
[HRM] Aanpassen van kostenplaatscode in Profit zonder verlies van historie.,ERP
SEPA-generatie mislukt ondanks het volgen van instructies en video's.,ERP
[azure | ClientSecretCredential authentication failed | secret key | MUBL] Afas kan geen e-mails verwerken,Algemeen
"[Rapport I Identifcatie] BTW-nummer verschijnt niet op termijnfactuur, terwijl het correct is ingevuld.",Algemeen
[integratiesoort] Geen integratiesoort gevonden voor verkoopfacturen Ordermanagement bij specifieke klanten.,ERP
[inrichting] cafetaria plan,HRM
[Connector] Contractwijziging in AFAS blokkeert planning in Tamigo tot ingangsdatum nieuw contract.,HRM
"Bankrekening NL65INGB0101047630 kan niet toegevoegd worden aan organisatienummer 1000881, omdat het al bestaat.",Algemeen
Afwezigheid op 5 mei in AFAS Insite/Pocket app zonder feestdagstatus.,HRM
[best practice] [Autorisatie] Verschil tussen rechten op tabblad en rechten op acties in autorisaties.,ERP
[Licenties] Licenties van abonnement verlagen voor Insite gebruikers en andere gebruikers.,ERP
[Profiel] Verplichte velden instellen in workflows voor verlofaanvragen en aankopen verlofuren.,HRM
"Bijlage tonen toont alleen laatst toegevoegde bijlage, niet meerdere opties.",ERP
"Bijlage tonen toont alleen laatst toegevoegde bijlage, niet meerdere opties.",ERP
[bijlage opleiding type dossieritem -82] Bijlagen van dossieritemtype -82 zijn niet zichtbaar in Profit.,Algemeen
"[Cursus] Annuleren van inschrijving voor zelfstudie onboarden, is dit mogelijk?",Algemeen
Vraag over de betekenis van het 'Limiet' veld bij verlofsoorten.,HRM
Aanmaken notitie vanaf contractpagina,Algemeen
"[Filter autorisatie] Nieuwe medewerker ziet geen projecten in Profit, ondanks gelijke rollen en autorisaties.",Algemeen
[importdefinitie] Importeren van tellijsten in AFAS: zijn er importmogelijkheden beschikbaar?,ERP
"[autorisatietool | gegevensfilter] Foutmelding bij artikelkeuze in ordermanagement: ""Item (Other revenues) mag niet gekozen worden vanwege filterautorisatie.""",ERP
[Actief] Verwerking van immateriële vaste activa in AFAS en best practices.,ERP
[betaalopdracht verdwenen] Betaalopdracht blijft hangen en verschijnt niet in de wachtrij voor verwerking.,ERP
"[Woonplaats | Adres] Postcode bestaat niet volgens AFAS bij projectaanmaak, ondanks correcte invoer.",ERP
[e-mailinstellingen facturen | spf record] Facturen naar Magnit Global worden gemarkeerd als verdachte e-mails met links.,ERP
"[Flex] [Items op Plaatsingsversie| loonafspraak actualiseren] Foutmelding bij plaatsing aanmaken: onder minimumuurloon, wijzig het uurloon.",Algemeen
"[Flex] [Items op Plaatsingsversie| loonafspraak actualiseren] Foutmelding bij plaatsing aanmaken: onder minimumuurloon, wijzig het uurloon.",Algemeen
Het beginsaldo in het bestand komt niet overeen met het saldo van het dagboek plus het totaal van de niet-verwerkte bankafschriftmutaties van bankafschriften met de status ingelezen of onderhanden,ERP
[memoboeking | factuurnummer | grijs] Factuurnummer veld is donkergrijs bij Financieel > Financiële mutaties.,ERP
Bij het aanmaken van een inkooprelatie wordt de bijlage niet opgeslagen in het dossier.,ERP
"[Lease a bike | fietsplan] Componenten tellen mee voor pensioengrondslag, uitschakelen niet mogelijk.",HRM
"[Insite Publiceren] InSite is sinds 30 maart 2025 niet vernieuwd, geen wijzigingen doorgevoerd.",ERP
[Standaardrooster] Kan je een standaardrooster aanpassen?,HRM
"[Ouderverlof] Geen ouderverlof saldo voor kind geboren in 2019, recht op onbetaald saldo?",HRM
[Kortingsgroep] Korting van 0 bij toekennen kortingsgroep aan artikel ondanks actieve staffels.,ERP
"Uurloon presentatie voor oproepkrachten: bruto uurloon, toeslag, vakantiegeld zichtbaar.",HRM
Heropenen van incident 2343620 na meivakantie zonder contact.,HRM
[Aanvullende gegevens] Bericht voor aanvullende gegevens wordt niet verstuurd via Onboarden,HRM
[connector voorraadprofiel] Foutmelding 'onvoldoende voorraad' bij order vanuit webshop met profiel 12. Mogelijk veroorzaakt door popup vraag in AFAS.,ERP
Inkooporderrapport verschijnt niet altijd automatisch na generatie of aanpassing.,ERP
Nieuwe looncomponenten in cao Horeca verkeerd gejournaliseerd onder pensioenpremies.,HRM
Tegel Profit testomgeving niet zichtbaar na inloggen in AFAS.,HRM
Toegang tot tegels profit en insite ontbreekt voor een specifieke gebruiker.,HRM
[Signaal] De bestemming is niet mogelijk bij organisatie/persoon,HRM
[Cookies] Foutmelding bij openen inkoopfactuur in Insite: alleen bij specifieke gebruiker.,Algemeen
[Weegave] Debiteurnaam ontbreekt bij grootboekkaart '8010 Omzet projecten' na toevoegen Deb./Cred. nummer.,ERP
[Scanbox] E-facturen trainen leidt tot vervaldatum als factuurdatum in het systeem.,Algemeen
Wijziging budgethouder instellingen van grootboekrekening naar verbijzondering en impact op processen.,ERP
Groepering detailsectie van rapport inkooporder aanpassen,ERP
"[Onboarden] Veld '(Z) Zakelijk mailadres' blijft leeg bij starten Onboarden, ondanks standaardinstelling.",HRM
[Insite I publiceren] Automatisch koppelen van testomgeving aan insite uitschakelen?,Algemeen
[Padindeling] Foutmelding bij opslaan van analyse in AFAS vanuit Excel.,ERP
[Instantie]Einddatum pensioen kan niet aangepast worden door oude dienstverband gegevens.,HRM
[klantportal] Geen beheerders meer,Algemeen
[Loonschaal / Vrij veld] Toevoegen van een extra weergave kolom 'MAANDLOON' bij loonschaal import.,Algemeen
"[Onboarden]Fout in onboarden workflow bij beëindigen lopend contract, blijft hangen in status.",HRM
[testomgeving | autorisatie InSite] Toegang tot nieuwe testomgeving niet mogelijk ondanks autorisatie.,Algemeen
[Saldi] Analyse van grootboekrekeningen #7400 en #7410 voor onverklaard saldo.,ERP
"[Loonstrook] Afdrukken loonstrook geeft de foutmelding: ""Pipe is broken."".",HRM
[Citrix] Netwerkschijf niet bereikbaar bij exporteren bestand in AFAS.,Algemeen
[Loonaangifte] Stagiaire melding gaat af; De aangegeven Code aard arbeidsverhouding kan niet gebruikt worden bij de soort inkomstenverhouding 11 (Ambtenaar).,HRM
"[Wens] Inkoopaanvraag voor dezelfde zzp'er met verschillende tarieven en projecten geeft foutmelding: 'Deze inkooporderregel overlapt met inkoopordernummer 00009, volgnummer 1 en mag niet aangemaakt worden.'",ERP
"[Wens] Inkoopaanvraag voor dezelfde zzp'er met verschillende tarieven en projecten geeft foutmelding: 'Deze inkooporderregel overlapt met inkoopordernummer 00009, volgnummer 1 en mag niet aangemaakt worden.'",ERP
[Gebruiker] Gebruiker rechten geven op Profit automatisch,Algemeen
[Abonnement | Verkoopfactuur] BTW wordt berekend voor Belgische klant ondanks juiste instellingen.,ERP
"[Onboarden] Onboarden workflow niet direct doorgezet na afhandeling loonheffing, vertraagd. | Conditoneel via geplande taak",HRM
"[berichtsjabloon | afzender | mailserver | domeinnaam] Foutmelding bij het versturen van onboarding e-mails: ""550 5.7.26 Unauthenticated email from crh.com is not accepted door DMARC policy.""",Algemeen
[Autorisatie] Nieuwe medewerker mist autorisatiegroepen obv functie,Algemeen
"Export naar Excel opent niet automatisch, enkel opslaan venster verschijnt.",ERP
[Cao MITT] Loonschalen CAO MITT (Mode- Interieur- Tapijt- en Textielindustrie) onderhouden vanuit AFAS,HRM
Rapport 'Medewerker autorisatierol' verschijnt niet op pagina 'overzicht rapporten'.,Algemeen
[PCC I Appconnector I Geblokkeerd] Foutmelding bij het vastleggen van berichten in Profit via Outlook: 6BBEDAC4198C486A979520B6186617CF.,Algemeen
[Verlof] Handmatig extra verlof bijboeken en automatisch laten vervallen een jaar na toekenning,HRM
"[Licentie] Het aantal medewerkers binnen je licentie, overstijgt het aantal waarvoor je licentie bezit. Je kunt hierdoor geen nieuwe medewerker toevoegen.",HRM
[bankafschrift] Waar vind je de ingelezen periode van een bankafschrift? Zijn de cijfers de datum van de eerste mutatie?,ERP
"[CBI Communicatieprofiel] Fouten in wachtrij communicatie service: ""Er zijn één of meerdere fouten opgetreden bij het uitvoeren van de taak 'Communicatieservice verzenden en ontvangen'.""",Algemeen
"[WFI 08-05] SSL-certificaat voor domein www.werkenbijmedirisk.nl ontbreekt, verbinding niet veilig.",Algemeen
[Indienst] Document 'Oproepkracht AOK FRQ' wordt niet gegenereerd bij indienstmelding.,HRM
"Ontbrekende knop ""Voorbeeld"" in workflow ""Medewerker adres wijzigen"" voor gegevensverzameling.",Algemeen
"[geplande taken verhogen] Limiet geplande taken ophogen, maximum aantal van 20 bereikt.",Algemeen
"Fouten bij DNS aanvraag, exacte foutmelding onbekend.",Algemeen
Crediteur in de VS verschijnt niet in betaalvoorstel door ontbrekende BIC.,ERP
[Import | Csv] Import van bestand met 1.375 regels geeft 1.048.575 regels aan.,ERP
[Gebruiker] Toegang geven aan nieuwe gebruiker voor AFAS InSite en inlogprocedure.,Algemeen
[Agenda | exchange synchronisatie] Verlof wordt niet correct weergegeven in Outlook voor een medewerker.,Algemeen
[Connectoren] Discrepantie in betekenis van CrId tussen management tool en AFAS Connect.,Algemeen
[Workflow] De gekozen gebruiker kan niet vastgelegd worden als verantwoordelijke. Kies een andere gebruiker,Algemeen
[Citrix] Vraag over de juiste Citrix versie 2405 en verbindingsproblemen.,Algemeen
"[Blokkade] Geen reactie bij klikken op ""Financieel -> Debiteur -> Aanmaning"" in Profit.",Algemeen
[SMS komt niet goed aan] Validatie-SMS voor digitaal ondertekenen komt niet aan op Bulgaars nummer.,Algemeen
[Connector | Nmbrs Koppeling] Koppeling tussen Profit en Nmbrs werkt niet; e-mail naar gebruiker komt niet aan. OTP-request wordt niet uitgevoerd.,Algemeen
[Berichtsjabloon I Afzender] Sjabloon aanpassen van de betaalspecificatie toont geen ex-collega's naam aan.,ERP
Roepnaam in plaats van voornaam verzonden in cXML order via OCI-koppeling voor Manutan.,ERP
[Autorisatie tool | groep vullen obv functie] Gebruiker kan niet worden toegevoegd aan gebruikersgroep in autorisatie tool.,Algemeen
[iFrame] [OutSite] Foutmelding bij invullen frequentie in jobalert overlay: LoginSessionGuid mismatch,HRM
[Autorisatie tool | gebruikersgroep vullen obv functie] Medewerker is nog niet in dienst voor betreffende functie,Algemeen
"[InSite | Contractverlenging] Hoe zijn de actieknoppen ''Aanpassen'', ''Verlengen'', ''Opzeggen'' en ''Verwijderen'' te autoriseren in de Tonen pagina van de eigenschappen van het contract in InSite",ERP
"[InSite | Contractverlenging] Hoe zijn de actieknoppen ''Aanpassen'', ''Verlengen'', ''Opzeggen'' en ''Verwijderen'' te autoriseren in de Tonen pagina van de eigenschappen van het contract in InSite",ERP
[Rapport | Concepten] Verplaatste conceptregels verschijnen op het rapport concept declaraties zonder wijzigingen.,ERP
"Beginbalans crediteur met negatief bedrag aanmaken geeft foutmelding: ""Het beschikbare bedrag vooruitbetaald op de crediteur is ontoereikend"".",ERP
[Wens | weergave cursus] Weergavefout cursusoverzicht door filter op lege of oude aanmaakdatum.,Algemeen
"[Algemene Ziekenhuizen (NVZ)] Stagevergoeding wordt bij iedereen toegepast of bij niemand toegepast, hoe alleen bij bepaalde medewerkers toepassen?",HRM
[Excel | Office 365 | invoegtoepassing mist] Excel add-ins niet zichtbaar na installatie van PCC op nieuwe pc.,Algemeen
[CSP | txt | security] Vraag over CSP en TXT,Algemeen
[Wens | dossieritem logging] Logging van het openen van dossieritems in AFAS Profit en bijbehorende documentatie.,Algemeen
[Test InSite URL] Geen test InSite beschikbaar voor koppeling in nieuwe testomgeving.,Algemeen
"[Autorisatie | Insite] Erwin heeft alle rechten in Insite, maar ontvangt een foutmelding bij het inzien van projecten en beoordelen van facturen.",ERP
[Onboarden] Inrichten van onboarding voor vrijwilligers zonder toegang tot InSite.,HRM
[BTW] Factuurregel kan niet afgeboekt worden. Geen geldige btw-code gevonden.,ERP
[BTW] Factuurregel kan niet afgeboekt worden. Geen geldige btw-code gevonden.,ERP
Overzicht van digitaal ingevulde velden per leverancier en controleopties.,ERP
"Bodemwaarde in Profit moet kleiner zijn dan aanschafwaarde, foutmelding verschijnt.",ERP
[Gegevensverzameling / tabel] Zichtbaarheid van het volledige pad in gegevensverzameling in AFAS.,Algemeen
[p6] [consultancy modus] Toegang tot consultancymodus voor verwijderen van collectieve verkooptarieven.,Algemeen
"[Staartkosten] Staartkosten worden direct als resultaat gezien in projectprognose, maar zijn niet bijstelbaar.",ERP
Beginbalans aanpassen lukt niet na splitsen van bankrekeningen op grootboekrekening.,ERP
"[Afschrift I verwerken] Bankmutaties zijn niet zichtbaar na automatische verwerking, wat gebeurt er met het verwerkte saldo?",ERP
"Creditfacturen verkeerd gejournaliseerd op 09-05-2025, foutmelding: ""Datum valt buiten de geselecteerde periode.""",ERP
[Licentietelling] Wat voor invloed heeft het aanmaken van nieuwe werkgevers / BV's op mijn licentietelling?,HRM
[export] [data timeout] Te veel tijd nodig om groot bestand van meer dan 27000 regels naar Excel te converteren. DataSet timeout: 180 seconds.,ERP
"[Verkeerde boeking] Wijzigen van verkeerd geboekte creditnota in kostenboek, saldo is +€ 30.000,= in plaats van € 0,=.",ERP
[Signaal] Uitvoeren signaal | De ingevulde waarde voor veld 'Organisatie/persoon' bestaat niet. Gebruik het zoekvenster om een waarde te selecteren,HRM
Afschrijving van vaste activa tijdelijk stopzetten in de vaste activa module.,ERP
"Contactgegevens samengevoegd, incidenten en wensen niet zichtbaar.",Algemeen
[projecten] Samenstellingsartikel (explosie) kan niet geselecteerd worden in voorcalculatie.,ERP
"[wens[ Navigeren tussen rapporten sluit niet correct af, gaat terug naar afbeelding 1.",ERP
[Familie] Aanpassen van de workflow om extra opties voor contactpersonen toe te voegen.,HRM
[Verlof] Aanpassing verlofprioriteit leidt tot waarschuwing over ongewenste gevolgen voor verlofsaldi.,HRM
[Analyse I voorraadplanning] Overzicht toekomstige voorraad per artikel en datum/week in Excel.,ERP
"[Tellers] Foutmelding bij genereren concept factuur: autonummering lengte aangepast, maar fout blijft. De waarde 999 valt buiten de opgegeven grenzen van de reeks (001 t/m )",ERP
"[weergave] Functie van contactpersoon zichtbaar maken in Pocket App, maar niet mogelijk.",Algemeen
"Jaaroverschrijdende correctie voor pensioenfonds na sluiten dienstverband, effect en consequenties?",HRM
"Geen gevolgde cursussen zichtbaar in ""mijn cursussen"" na eerdere deelname.",Algemeen
[Medewerker] Onvindbare medewerkers,HRM
"Workflow bereikt hoofdverantwoordelijke niet bij vacature, hoe kan dit?",HRM
Aanpassen van de volgorde van documenten in de onboarding workflow.,HRM
[Vervaldatum I boekstukdatum] Vervaltermijn van inkoopfactuur wordt berekend op boekingsdatum in plaats van factuurdatum.,ERP
Acties die geautoriseerd zijn onder Medewerker MSS in de autorisatie tool kunnen ook voor jezelf (ESS) gebruikt worden,Algemeen
[Export Excel] Vraag over autorisatie voor exporteren van weergaves in Insite. Geldt de autorisatie uit Profit ook hier?,Algemeen
[Totalizer ] Totaliseren werkt niet op kolom aanschafwaarde in vaste activa.,ERP
"[Vrij veld I getconnector] Veld toegevoegd in gegevensverzameling, maar niet zichtbaar in AFAS Connect.",Algemeen
[Geplande taken] Maximaal aantal van 20 geplande taken bereikt | ophogen geplande taken,HRM
[facturatiecockpit abonnementen] Verkoopfacturen genereren uit abonnement module mislukt door ontbrekende factuurdatum of btw-code.,ERP
[facturatiecockpit abonnementen] Verkoopfacturen genereren uit abonnement module mislukt door ontbrekende factuurdatum of btw-code.,ERP
